"courseStu","courseStr","stuUDID","McountN","McountA","McountM","McountE"
"s..7........:112","s..7........",112,12,0,5,4
"s....7......:112","s....7......",112,0,2,8,5
"s......7....:112","s......7....",112,0,0,0,0
"s..........7:112","s..........7",112,0,5,1,0
"s7..........:113","s7..........",113,4,19,6,0
"s.7.........:113","s.7.........",113,0,10,9,0
"s..7........:113","s..7........",113,16,3,2,0
"s....7......:113","s....7......",113,0,6,4,5
"s......7....:113","s......7....",113,0,0,0,0
"s..........7:113","s..........7",113,1,3,2,0
"s7..........:114","s7..........",114,0,1,25,3
"s.7.........:114","s.7.........",114,0,6,13,0
"s..7........:114","s..7........",114,2,0,4,0
"s....7......:114","s....7......",114,0,5,6,4
"s......7....:114","s......7....",114,0,0,0,0
"s..........7:114","s..........7",114,1,4,1,1
"s7..........:115","s7..........",115,6,14,9,0
"s.7.........:115","s.7.........",115,4,7,7,0
"s..7........:115","s..7........",115,14,0,4,1
"s....7......:115","s....7......",115,0,5,6,4
"s......7....:115","s......7....",115,0,0,0,0
"s..........7:115","s..........7",115,3,3,0,0
"s7..........:116","s7..........",116,0,7,22,0
"s.7.........:116","s.7.........",116,1,10,7,1
"s..7........:116","s..7........",116,14,0,2,1
"s....7......:116","s....7......",116,0,5,7,3
"s......7....:116","s......7....",116,0,0,0,0
"s..........7:116","s..........7",116,2,4,0,0
"s7..........:117","s7..........",117,2,17,10,0
"s.7.........:117","s.7.........",117,2,10,7,0
"s..7........:117","s..7........",117,16,1,4,0
"s....7......:117","s....7......",117,0,5,7,3
"s......7....:117","s......7....",117,0,0,0,0
"s..........7:117","s..........7",117,1,1,1,3
"s7..........:118","s7..........",118,0,12,16,1
"s.7.........:118","s.7.........",118,0,8,11,0
"s..7........:118","s..7........",118,16,1,3,1
"s....7......:118","s....7......",118,0,4,9,2
"s......7....:118","s......7....",118,0,0,0,0
"s..........7:118","s..........7",118,2,4,0,0
"s7..........:119","s7..........",119,14,13,2,0
"s.7.........:119","s.7.........",119,6,8,5,0
"s..7........:119","s..7........",119,16,3,0,0
"s....7......:119","s....7......",119,0,8,5,2
"s......7....:119","s......7....",119,0,0,0,0
"s..........7:119","s..........7",119,0,6,0,0
"s7..........:120","s7..........",120,6,15,8,0
"s.7.........:120","s.7.........",120,4,13,1,0
"s..7........:120","s..7........",120,17,4,0,0
"s....7......:120","s....7......",120,0,5,5,5
"s......7....:120","s......7....",120,0,0,0,0
"s..........7:120","s..........7",120,0,5,1,0
"s7..........:121","s7..........",121,2,14,13,0
"s.7.........:121","s.7.........",121,0,3,14,1
"s..7........:121","s..7........",121,14,0,2,1
"s....7......:121","s....7......",121,0,2,9,4
"s......7....:121","s......7....",121,0,0,0,0
"s..........7:121","s..........7",121,0,6,0,0
"s7..........:122","s7..........",122,0,0,23,6
"s.7.........:122","s.7.........",122,0,1,16,3
"s..7........:122","s..7........",122,17,0,2,2
"s....7......:122","s....7......",122,0,2,8,5
"s......7....:122","s......7....",122,0,0,0,0
"s..........7:122","s..........7",122,0,4,2,0
"s7..........:123","s7..........",123,0,3,23,3
"s.7.........:123","s.7.........",123,1,6,11,1
"s..7........:123","s..7........",123,13,1,4,0
"s....7......:123","s....7......",123,0,4,6,5
"s......7....:123","s......7....",123,0,0,0,0
"s..........7:123","s..........7",123,1,5,0,0
"s7..........:124","s7..........",124,0,7,22,0
"s.7.........:124","s.7.........",124,2,2,13,1
"s..7........:124","s..7........",124,13,3,1,1
"s....7......:124","s....7......",124,0,6,6,3
"s......7....:124","s......7....",124,0,0,0,0
"s..........7:124","s..........7",124,0,6,1,0
"s7..........:125","s7..........",125,4,20,5,0
"s.7.........:125","s.7.........",125,1,3,13,2
"s..7........:125","s..7........",125,14,1,4,0
"s....7......:125","s....7......",125,0,3,8,4
"s......7....:125","s......7....",125,0,0,0,0
"s..........7:125","s..........7",125,2,4,0,0
"s7..........:126","s7..........",126,0,17,12,0
"s.7.........:126","s.7.........",126,0,3,14,1
"s..7........:126","s..7........",126,14,0,3,0
"s....7......:126","s....7......",126,0,3,7,5
"s......7....:126","s......7....",126,0,0,0,0
"s..........7:126","s..........7",126,0,6,0,0
"s7..........:127","s7..........",127,0,7,22,0
"s.7.........:127","s.7.........",127,0,7,11,1
"s..7........:127","s..7........",127,16,2,0,1
"s....7......:127","s....7......",127,0,3,7,5
"s......7....:127","s......7....",127,0,0,0,0
"s..........7:127","s..........7",127,1,5,0,0
"s7..........:128","s7..........",128,3,19,7,0
"s.7.........:128","s.7.........",128,0,4,12,2
"s..7........:128","s..7........",128,16,1,2,0
"s....7......:128","s....7......",128,0,6,4,5
"s......7....:128","s......7....",128,0,0,0,0
"s..........7:128","s..........7",128,0,6,0,0
"s7..........:129","s7..........",129,3,17,9,0
"s.7.........:129","s.7.........",129,5,9,5,0
"s..7........:129","s..7........",129,14,2,0,1
"s....7......:129","s....7......",129,0,8,3,4
"s......7....:129","s......7....",129,0,0,0,0
"s..........7:129","s..........7",129,0,5,1,0
"s7..........:130","s7..........",130,2,13,14,0
"s.7.........:130","s.7.........",130,0,7,12,0
"s..7........:130","s..7........",130,14,1,2,0
"s....7......:130","s....7......",130,0,5,7,3
"s......7....:130","s......7....",130,0,0,0,0
"s..........7:130","s..........7",130,1,4,1,0
"s7..........:131","s7..........",131,0,1,27,1
"s.7.........:131","s.7.........",131,1,9,10,0
"s..7........:131","s..7........",131,0,0,4,0
"s....7......:131","s....7......",131,2,6,2,5
"s......7....:131","s......7....",131,0,0,0,0
"s..........7:131","s..........7",131,2,2,1,0
"s7..........:132","s7..........",132,0,1,13,15
"s.7.........:132","s.7.........",132,0,6,12,1
"s..7........:132","s..7........",132,15,1,2,1
"s....7......:132","s....7......",132,0,3,8,4
"s......7....:132","s......7....",132,0,0,0,0
"s..........7:132","s..........7",132,3,3,0,0
"s7..........:133","s7..........",133,2,5,22,0
"s.7.........:133","s.7.........",133,0,6,12,1
"s..7........:133","s..7........",133,2,1,1,0
"s....7......:133","s....7......",133,0,6,8,1
"s......7....:133","s......7....",133,0,0,0,0
"s..........7:133","s..........7",133,1,3,2,0
"s7..........:134","s7..........",134,0,13,16,0
"s.7.........:134","s.7.........",134,0,8,11,1
"s..7........:134","s..7........",134,14,0,5,0
"s....7......:134","s....7......",134,0,4,7,4
"s......7....:134","s......7....",134,0,0,0,0
"s..........7:134","s..........7",134,0,4,0,0
"s7..........:135","s7..........",135,0,13,16,0
"s.7.........:135","s.7.........",135,0,9,10,0
"s..7........:135","s..7........",135,0,4,0,0
"s....7......:135","s....7......",135,0,5,8,2
"s......7....:135","s......7....",135,0,0,0,0
"s..........7:135","s..........7",135,1,3,0,0
"s7..........:136","s7..........",136,11,15,3,0
"s.7.........:136","s.7.........",136,3,12,4,0
"s..7........:136","s..7........",136,0,2,2,0
"s....7......:136","s....7......",136,0,6,8,1
"s......7....:136","s......7....",136,0,0,0,0
"s..........7:136","s..........7",136,1,2,0,0
"s7..........:137","s7..........",137,3,9,17,0
"s.7.........:137","s.7.........",137,5,14,1,0
"s..7........:137","s..7........",137,13,1,0,1
"s....7......:137","s....7......",137,2,4,7,2
"s......7....:137","s......7....",137,0,0,0,0
"s..........7:137","s..........7",137,2,2,0,0
"s7..........:138","s7..........",138,6,18,5,0
"s.7.........:138","s.7.........",138,1,8,11,0
"s..7........:138","s..7........",138,15,1,2,0
"s....7......:138","s....7......",138,0,4,9,2
"s......7....:138","s......7....",138,0,0,0,0
"s..........7:138","s..........7",138,0,4,1,0
"s7..........:139","s7..........",139,0,8,21,0
"s.7.........:139","s.7.........",139,0,9,10,1
"s..7........:139","s..7........",139,12,2,3,0
"s....7......:139","s....7......",139,0,5,5,5
"s......7....:139","s......7....",139,0,0,0,0
"s..........7:139","s..........7",139,0,4,1,0
"s7..........:140","s7..........",140,15,11,3,0
"s.7.........:140","s.7.........",140,1,11,7,0
"s..7........:140","s..7........",140,2,2,0,0
"s....7......:140","s....7......",140,0,10,4,1
"s......7....:140","s......7....",140,0,0,0,0
"s..........7:140","s..........7",140,1,3,0,0
"s7..........:141","s7..........",141,0,13,16,0
"s.7.........:141","s.7.........",141,0,4,12,3
"s..7........:141","s..7........",141,15,1,1,1
"s....7......:141","s....7......",141,1,3,6,5
"s......7....:141","s......7....",141,0,0,0,0
"s..........7:141","s..........7",141,0,5,0,0
"s7..........:142","s7..........",142,0,6,19,4
"s.7.........:142","s.7.........",142,1,10,8,0
"s..7........:142","s..7........",142,14,3,2,0
"s....7......:142","s....7......",142,0,4,6,5
"s......7....:142","s......7....",142,0,0,0,0
"s..........7:142","s..........7",142,3,3,0,0
"s7..........:143","s7..........",143,6,17,6,0
"s.7.........:143","s.7.........",143,4,12,3,0
"s..7........:143","s..7........",143,2,2,0,0
"s....7......:143","s....7......",143,0,9,5,1
"s......7....:143","s......7....",143,0,0,0,0
"s..........7:143","s..........7",143,3,1,0,0
"s7..........:144","s7..........",144,0,5,18,6
"s.7.........:144","s.7.........",144,0,4,15,1
"s..7........:144","s..7........",144,13,1,3,1
"s....7......:144","s....7......",144,1,2,8,4
"s......7....:144","s......7....",144,0,0,0,0
"s..........7:144","s..........7",144,1,5,0,0
"s7..........:145","s7..........",145,3,15,11,0
"s.7.........:145","s.7.........",145,2,10,7,0
"s..7........:145","s..7........",145,2,0,2,0
"s....7......:145","s....7......",145,2,3,7,3
"s......7....:145","s......7....",145,0,0,0,0
"s..........7:145","s..........7",145,2,2,0,0
"s7..........:146","s7..........",146,0,7,22,0
"s.7.........:146","s.7.........",146,0,7,12,0
"s..7........:146","s..7........",146,15,2,1,0
"s....7......:146","s....7......",146,0,5,5,5
"s......7....:146","s......7....",146,0,0,0,0
"s..........7:146","s..........7",146,2,2,0,0
"s7..........:147","s7..........",147,2,15,12,0
"s.7.........:147","s.7.........",147,0,5,14,0
"s..7........:147","s..7........",147,14,4,0,0
"s....7......:147","s....7......",147,0,5,5,5
"s......7....:147","s......7....",147,0,0,0,0
"s..........7:147","s..........7",147,0,5,0,0
"s7..........:148","s7..........",148,0,6,20,3
"s.7.........:148","s.7.........",148,0,6,14,0
"s..7........:148","s..7........",148,13,3,1,1
"s....7......:148","s....7......",148,0,2,8,5
"s......7....:148","s......7....",148,0,0,0,0
"s..........7:148","s..........7",148,2,4,0,0
"s7..........:149","s7..........",149,3,9,17,0
"s.7.........:149","s.7.........",149,0,8,11,1
"s..7........:149","s..7........",149,13,1,3,1
"s....7......:149","s....7......",149,0,4,8,3
"s......7....:149","s......7....",149,0,0,0,0
"s..........7:149","s..........7",149,1,5,0,0
"s7..........:150","s7..........",150,9,15,5,0
"s.7.........:150","s.7.........",150,4,14,1,0
"s..7........:150","s..7........",150,2,2,0,0
"s....7......:150","s....7......",150,1,5,6,3
"s......7....:150","s......7....",150,0,0,0,0
"s..........7:150","s..........7",150,1,2,0,0
"s7..........:151","s7..........",151,0,1,28,0
"s.7.........:151","s.7.........",151,0,7,9,2
"s..7........:151","s..7........",151,13,3,2,0
"s....7......:151","s....7......",151,0,5,6,4
"s......7....:151","s......7....",151,0,0,0,0
"s..........7:151","s..........7",151,4,2,0,0
"s7..........:152","s7..........",152,0,3,21,5
"s.7.........:152","s.7.........",152,3,1,14,2
"s..7........:152","s..7........",152,13,0,4,1
